Player,Season,Rk,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate,games_played,td_game,int_game,first_down_game,twenty_yds_game,forty_yds_game,sacks_game
Patrick Mahomes,2018,2,KC,QB,383,580,66,36.2,5097,8.8,318.6,50,12,237,40.9,89T,75,15,26,113.8,16,3.125,0.75,14.8125,4.6875,0.9375,1.625
Tom Brady,2007,1,NE,QB,398,578,68.9,36.1,4806,8.3,300.4,50,8,240,41.5,69T,56,15,21,117.2,16,3.125,0.5,15,3.5,0.9375,1.3125
Tom Brady,2011,1,NE,QB,401,611,65.6,38.2,5235,8.6,327.2,39,12,261,42.7,99T,71,14,32,105.6,16,2.4375,0.75,16.3125,4.4375,0.875,2
Peyton Manning,2004,2,IND,QB,336,497,67.6,31.1,4557,9.2,284.8,49,10,232,46.7,80T,68,13,13,121.1,16,3.0625,0.625,14.5,4.25,0.8125,0.8125
